arm,time_s,target_timestamp_ns,source_timestamp_ns,source_index,age_ms,fx,fy,fz,tx,ty,tz
left,17.65,1787652128271508096,1787652128266903713,14118,4.604383,6.211979826372678,3.8577738955638745,4.517150460164006,-0.38251464478920716,0.3709105027489662,-0.21126785242599294
left,17.66,1787652128281508096,1787652128276927227,14126,4.580869,5.859689091606005,3.647677406097561,5.122888176773603,-0.37752080992440046,0.4132381435605068,-0.18370084344698973
left,17.67,1787652128291508096,1787652128286887159,14134,4.620937,5.7465757129095945,3.4576788298496024,4.306512476390061,-0.3588679451492011,0.45310966198726843,-0.13661676914131843
left,17.68,1787652128301508096,1787652128297550206,14140,3.95789,5.274031388180971,2.78661164246926,5.037105373844895,-0.3371628931782769,0.4897925438541032,-0.05984399309161814
left,17.69,1787652128311508096,1787652128306862379,14148,4.645717,5.464205368003458,2.28950019775783,4.787129334195598,-0.3095107276176442,0.5420803782358486,0.04002673212228347
left,17.7,1787652128321508096,1787652128316932491,14156,4.575605,5.401956332971552,2.4456255293688876,5.1409735953383695,-0.28425476596028826,0.5781372654299903,0.13975663446176362
left,17.71,1787652128331508096,1787652128326956886,14164,4.55121,5.089475780771282,2.4024247973772535,5.009484859980289,-0.2683616537355138,0.6190833608166059,0.19455481217948006
left,17.72,1787652128341508096,1787652128336899509,14174,4.608587,5.31475854653052,2.0804255518319357,5.3627010052027515,-0.2593341362780194,0.6161406487397382,0.21840803661978161
left,17.73,1787652128351508096,1787652128347243677,14181,4.264419,5.20366233970309,1.7760416306862963,5.187209130668678,-0.25753888393152197,0.6133919884839149,0.21376284384467564
left,17.74,1787652128361508096,1787652128356927067,14190,4.581029,5.5084581451484755,1.5701922587283987,5.6352824454940045,-0.256737691718657,0.6079711178382905,0.21654596720502234
left,17.75,1787652128371508096,1787652128366957969,14196,4.550127,4.702687089077948,1.413930630399531,5.2093320005547845,-0.2572585647186112,0.5686608996458932,0.21892699142535846
left,17.76,1787652128381508096,1787652128376881735,14204,4.626361,4.876530380162082,1.6681290547572896,5.051765689571155,-0.2552730246704202,0.5321388830037165,0.23130066484972017
left,17.77,1787652128391508096,1787652128386881837,14212,4.626259,5.0664569487464695,1.4820375903249239,4.585147241298919,-0.25196761270411266,0.4742323618850164,0.23390268616519527
left,17.78,1787652128401508096,1787652128396984084,14221,4.524012,5.601527794686388,1.2358170486303857,4.896986163291501,-0.2481396632794736,0.41195495601611976,0.265246073463986
left,17.79,1787652128411508096,1787652128406896615,14230,4.611481,6.333277601748142,0.3934137160689284,4.197238856215739,-0.24504431410394933,0.32248503890488645,0.28298808829560557
left,17.8,1787652128421508096,1787652128416884228,14238,4.623868,7.299400038994278,-0.5880517198167519,3.936829945790747,-0.23974060715760476,0.2082384671985259,0.34334921470553875
left,17.81,1787652128431508096,1787652128426931141,14246,4.576955,7.117880641087642,-1.8311441310227365,3.1240132379052077,-0.2291266529876187,0.08627531921846698,0.41559114847744927
left,17.82,1787652128441508096,1787652128436938496,14253,4.5696,9.062879293001071,-3.1097415149430083,2.1309297257839983,-0.22293711687582932,-0.05421050096630886,0.4642825116896047
left,17.83,1787652128451508096,1787652128447175850,14260,4.332246,9.44875070395639,-4.319381652092804,1.8293708350501032,-0.21770243566488837,-0.15332334181819696,0.5069960626435759
